Crop,Region,Season,Temperature_C,Humidity_%,Soil_pH,Soil_Moisture_%,Fertilizer_Name,Fertilizer_Amount_kg,Pesticide_Name,Pesticide_Amount_kg
Maize,Maharashtra,Rabi,28.82,72.06,5.74,30.1,Urea,117.45,Imidacloprid,2.439
Sugarcane,Tamil Nadu,Zaid,23.26,39.4,6.85,35.37,NPK,235.24,Imidacloprid,2.747
Wheat,Rajasthan,Rabi,31.47,64.28,6.95,28.05,NPK,141.72,Carbendazim,1.565
Rice,Uttar Pradesh,Rabi,31.98,73.74,7.2,30.74,Urea,163.19,Chlorpyrifos,4.226
Rice,Karnataka,Kharif,26.03,53.99,6.25,33.98,DAP,154.16,Chlorpyrifos,2.816
Mustard,Punjab,Zaid,30.44,84.22,6.12,52.41,Compost,72.12,Carbendazim,2.735
Groundnut,Odisha,Kharif,30.82,48.8,6.09,33.65,Compost,55.85,Dimethoate,2.259
Sugarcane,Karnataka,Zaid,26.96,54.37,6.63,37.89,Potash,206.44,Imidacloprid,3.103
Wheat,Punjab,Kharif,22.05,90.58,7.27,44.39,NPK,143.86,Propiconazole,3.55
Rice,Uttar Pradesh,Rabi,30.77,61.31,7.14,41.19,MOP,143.97,Imidacloprid,2.898
Pulses,Rajasthan,Rabi,28.05,74.4,6.47,35.99,DAP,93.84,Thiamethoxam,2.327
Maize,Bihar,Zaid,25.28,88.95,5.81,40.82,DAP,117.06,Chlorantraniliprole,4.109
Wheat,Bihar,Kharif,24.68,79.36,5.62,21.92,NPK,137.94,Carbendazim,2.1
Wheat,Tamil Nadu,Zaid,26.75,64.23,5.61,60.87,SSP,125.15,Propiconazole,2.349
Groundnut,Maharashtra,Rabi,25.29,77.22,6.35,47.15,Urea,109.71,Dimethoate,3.246
Groundnut,Bihar,Rabi,30.8,70.79,5.44,38.39,Gypsum,51.18,Carbendazim,2.547
Sugarcane,Rajasthan,Zaid,27.05,54.56,6.95,42.87,Potash,195.2,Malathion,3.517
Groundnut,Odisha,Kharif,32.3,66.93,6.73,39.86,Urea,105.42,Chlorpyrifos,2.958
Maize,Rajasthan,Zaid,24.67,94.64,7.14,43.53,Urea,135.27,Imidacloprid,3.762
Wheat,Bihar,Zaid,29.4,87.35,5.93,33.51,NPK,138.83,Carbendazim,2.973
Mustard,Punjab,Rabi,36.35,77.5,6.93,48.69,Urea,125.78,Carbendazim,2.394
Maize,Bihar,Rabi,21.22,100,6.54,50.45,DAP,132.94,Lambda-Cyhalothrin,5.052
Cotton,Karnataka,Kharif,28.43,56.07,7.1,54.35,Potash,154.26,Imidacloprid,2.739
Cotton,Rajasthan,Rabi,29.38,68.33,6.19,21.24,NPK,178.99,Imidacloprid,2.937
Mustard,Odisha,Rabi,28.8,66.97,7.24,35.17,SSP,97.44,Imidacloprid,2.085
Mustard,Maharashtra,Kharif,33.23,53.02,6.76,57.46,SSP,104.95,Carbendazim,1.491
Sugarcane,Bihar,Rabi,32.18,75.66,6.87,76.27,Potash,210.2,Imidacloprid,4.066
Wheat,Karnataka,Kharif,30.83,43.51,6.17,43.04,Urea,133.18,Carbendazim,1.802
Mustard,Punjab,Kharif,26.72,64.71,7.42,47.37,Urea,116.15,Imidacloprid,1.554
Cotton,Uttar Pradesh,Rabi,24.97,54.28,7.3,53.72,NPK,180.52,Acephate,2.778
Cotton,Bihar,Zaid,32.32,87.33,6.28,38.57,NPK,188.41,Buprofezin,3.917
Cotton,Rajasthan,Kharif,25.78,44.3,6.37,56.09,NPK,186.53,Buprofezin,2.604
Cotton,Rajasthan,Zaid,31.92,63.67,6.65,42.82,NPK,184.17,Acephate,3.106
Mustard,Bihar,Zaid,32.32,54.28,5.28,39.06,Compost,64.86,Imidacloprid,2.24
Mustard,Tamil Nadu,Zaid,26.39,63.27,6.51,28.9,SSP,93.58,Carbendazim,1.437
Cotton,Odisha,Rabi,22.09,63.28,6.66,47.31,Compost,109.14,Imidacloprid,2.514
Rice,Maharashtra,Zaid,24.73,63.77,6.37,61.94,Urea,167.09,Chlorpyrifos,3.839
Groundnut,Punjab,Zaid,29.16,43.98,6.96,49.19,Urea,107.77,Dimethoate,2.159
Wheat,Punjab,Kharif,31.52,76.27,5.91,62.4,NPK,146.65,Propiconazole,3.321
Cotton,Rajasthan,Kharif,24.52,59.83,6.74,28.48,Potash,139.83,Imidacloprid,2.531
Mustard,Rajasthan,Rabi,27.28,60.56,5.45,62.09,SSP,104.84,Mancozeb,2.104
Maize,Rajasthan,Rabi,33.51,54.68,6.83,31.64,DAP,118.39,Lambda-Cyhalothrin,3.182
Pulses,Rajasthan,Kharif,27.73,71.07,6.25,34.9,NPK,98.98,Imidacloprid,1.883
Maize,Karnataka,Kharif,28.83,64.63,5.47,27.38,Urea,109.65,Lambda-Cyhalothrin,2.736
Mustard,Karnataka,Rabi,34.58,70.34,5.89,20.77,Compost,64.37,Mancozeb,2.519
Mustard,Karnataka,Rabi,25.24,46.3,5.58,25.8,SSP,95.01,Mancozeb,1.476
Mustard,Rajasthan,Rabi,28.99,70.87,6.72,25.11,Urea,112.2,Carbendazim,1.746
Rice,Karnataka,Zaid,33.93,59.72,6.91,31.54,Urea,161.62,Cartap Hydrochloride,3.308
Wheat,Rajasthan,Zaid,23.52,80.81,7.67,23.08,NPK,131.85,Carbendazim,2.456
Mustard,Tamil Nadu,Kharif,28.2,73.88,5.97,47.77,Urea,114.29,Mancozeb,2.552
Cotton,Punjab,Kharif,33.11,77.59,7.09,32.94,Compost,102.62,Imidacloprid,3.822
Wheat,Tamil Nadu,Zaid,31.35,60.94,6.36,51.77,NPK,139.64,Propiconazole,2.286
Wheat,Bihar,Rabi,24.11,78.67,5.86,64.29,SSP,129.32,Mancozeb,3.351
Cotton,Uttar Pradesh,Rabi,30.76,75.0,6.3,24.67,Potash,141.95,Imidacloprid,3.552
Sugarcane,Karnataka,Zaid,28.47,84.17,6.58,42.35,NPK,250.9,Malathion,5.612
Wheat,Rajasthan,Rabi,19.41,76.68,7.23,41.55,Urea,138.11,Propiconazole,2.494
Groundnut,Punjab,Kharif,18.75,67.21,6.98,52.99,Gypsum,54.32,Chlorpyrifos,2.385
Mustard,Punjab,Zaid,27.35,67.69,6.54,53.48,Compost,66.25,Imidacloprid,2.278
Mustard,Uttar Pradesh,Rabi,30.43,75.9,6.75,49.01,Urea,123.46,Mancozeb,3.237
Rice,Punjab,Kharif,28.63,61.04,6.91,29.06,DAP,153.89,Cartap Hydrochloride,3.073
Pulses,Maharashtra,Rabi,33.97,93.87,6.33,55.34,DAP,97.75,Imidacloprid,4.061
Maize,Bihar,Kharif,26.86,54.9,6.36,49.63,DAP,119.36,Imidacloprid,2.429
Maize,Tamil Nadu,Kharif,24.98,96.88,5.41,41.21,DAP,115.89,Imidacloprid,4.402
Cotton,Maharashtra,Rabi,29.46,75.75,6.45,49.14,Compost,106.85,Buprofezin,3.369
Sugarcane,Rajasthan,Zaid,29.41,73.27,5.88,11.08,NPK,238.89,Chlorpyrifos,4.253
Groundnut,Punjab,Kharif,30.8,88.26,6.9,49.24,Compost,64.16,Dimethoate,4.146
Sugarcane,Maharashtra,Rabi,27.24,65.88,5.98,40.21,Potash,198.33,Malathion,3.996
Cotton,Karnataka,Zaid,23.8,64.54,6.89,43.25,NPK,181.75,Buprofezin,2.515
Mustard,Odisha,Zaid,28.64,73.72,7.52,50.54,Compost,68.28,Mancozeb,2.687
Rice,Uttar Pradesh,Zaid,32.83,69.25,6.56,34.8,MOP,142.11,Cartap Hydrochloride,3.818
Groundnut,Punjab,Zaid,25.08,63.78,6.15,53.86,Compost,65.2,Chlorpyrifos,1.885
Cotton,Bihar,Zaid,25.68,73.14,6.66,24.97,Potash,152.13,Buprofezin,3.064
Mustard,Bihar,Zaid,29.78,66.36,6.49,24.27,Urea,114.28,Carbendazim,1.701
Wheat,Odisha,Kharif,32.76,61.41,7.26,48.71,Urea,132.76,Propiconazole,2.383
Groundnut,Rajasthan,Kharif,27.7,92.09,6.49,25.7,Compost,67.74,Dimethoate,3.822
Sugarcane,Tamil Nadu,Zaid,28.92,54.94,6.92,64.87,Potash,200.88,Imidacloprid,3.66
Pulses,Uttar Pradesh,Rabi,29.84,81.63,6.84,39.89,DAP,96.35,Mancozeb,3.156
Sugarcane,Punjab,Kharif,34.75,75.57,6.87,48.21,Potash,201.46,Malathion,5.188
Wheat,Uttar Pradesh,Rabi,32.61,67.03,6.46,49.2,Urea,138.57,Carbendazim,2.384
Rice,Punjab,Kharif,27.41,55.99,5.86,32.38,Urea,152.38,Cartap Hydrochloride,3.132
Maize,Odisha,Kharif,27.79,64.23,6.34,52.65,Urea,132.85,Imidacloprid,2.505
Wheat,Karnataka,Zaid,24.88,72.11,7.32,35.04,Urea,134.33,Propiconazole,2.294
Mustard,Rajasthan,Rabi,31.36,77.02,5.54,37.94,Compost,65.99,Imidacloprid,2.839
Groundnut,Maharashtra,Kharif,23.49,85.57,5.81,46.74,Urea,115.2,Carbendazim,2.541
Cotton,Punjab,Rabi,28.73,84.31,5.96,52.74,NPK,186.54,Imidacloprid,3.998
Groundnut,Bihar,Kharif,27.61,48.66,6.27,33.93,Gypsum,42.96,Carbendazim,1.529
Groundnut,Odisha,Rabi,31.17,72.56,6.57,28.2,Urea,109.21,Carbendazim,2.117
Rice,Karnataka,Zaid,35.47,60.22,6.64,37.65,Urea,163.8,Imidacloprid,3.039
Mustard,Maharashtra,Zaid,34.0,63.48,6.29,29.52,Urea,112.67,Imidacloprid,2.093
Maize,Uttar Pradesh,Kharif,28.27,78.67,6.78,50.54,DAP,121.55,Lambda-Cyhalothrin,4.268
Cotton,Odisha,Rabi,25.95,53.03,6.9,57.93,NPK,185.06,Imidacloprid,2.844
Cotton,Rajasthan,Kharif,20.87,67.28,6.3,30.57,Compost,104.91,Buprofezin,2.507
Sugarcane,Rajasthan,Zaid,24.89,67.01,6.59,31.23,Urea,230.35,Malathion,3.69
Cotton,Maharashtra,Rabi,29.51,76.42,6.47,36.61,NPK,181.32,Buprofezin,3.423
Groundnut,Tamil Nadu,Rabi,29.25,67.0,7.04,41.58,Compost,67.35,Carbendazim,2.123
Groundnut,Maharashtra,Rabi,30.1,74.18,7.24,47.15,Compost,63.91,Chlorpyrifos,3.297
Groundnut,Uttar Pradesh,Zaid,25.42,82.26,6.44,53.71,Compost,68.52,Carbendazim,2.582
Wheat,Uttar Pradesh,Zaid,32.29,66.51,8.1,37.91,NPK,134.51,Propiconazole,2.68
Cotton,Odisha,Kharif,24.06,84.12,7.02,33.93,NPK,185.78,Imidacloprid,3.729
Mustard,Maharashtra,Rabi,25.4,66.32,6.1,30.13,Urea,109.97,Carbendazim,1.595
Maize,Karnataka,Rabi,25.7,92.33,6.2,37.46,Urea,129.1,Lambda-Cyhalothrin,4.495
Rice,Rajasthan,Kharif,31.25,63.52,6.65,32.91,DAP,144.73,Chlorpyrifos,3.658
Mustard,Karnataka,Kharif,29.63,82.71,6.18,25.36,Urea,111.79,Carbendazim,2.586
Cotton,Karnataka,Rabi,29.82,99.45,6.95,36.32,Potash,151.15,Buprofezin,4.558
Pulses,Maharashtra,Rabi,28.89,62.92,6.68,31.93,DAP,94.87,Thiamethoxam,1.898
Cotton,Maharashtra,Rabi,26.42,50.18,5.3,52.64,NPK,178.2,Acephate,2.691
Maize,Tamil Nadu,Kharif,33.29,67.81,7.16,55.34,Urea,133.22,Imidacloprid,3.138
Cotton,Tamil Nadu,Zaid,29.21,56.6,7.53,43.54,Compost,100.13,Imidacloprid,2.577
Mustard,Uttar Pradesh,Zaid,25.99,54.99,5.32,56.84,Compost,69.58,Carbendazim,1.423
Sugarcane,Punjab,Zaid,32.92,78.57,5.57,53.8,Urea,233.22,Malathion,5.186
Cotton,Maharashtra,Zaid,27.85,67.52,7.24,41.52,NPK,180.14,Acephate,3.292
Maize,Tamil Nadu,Kharif,29.6,57.67,6.8,36.07,Compost,77.57,Lambda-Cyhalothrin,2.504
Sugarcane,Maharashtra,Kharif,26.39,86.56,5.84,42.11,Urea,240.89,Imidacloprid,4.508
Mustard,Bihar,Kharif,36.22,53.33,6.91,24.92,Urea,112.26,Imidacloprid,1.943
Pulses,Punjab,Rabi,35.59,81.18,7.17,27.97,Compost,60.28,Imidacloprid,3.068
Sugarcane,Maharashtra,Zaid,25.7,75.65,7.37,45.14,NPK,242.18,Chlorpyrifos,4.976
Pulses,Rajasthan,Kharif,31.58,75.75,6.0,36.63,Compost,62.14,Imidacloprid,2.285
Maize,Bihar,Zaid,28.98,70.2,6.91,32.41,DAP,120.8,Chlorantraniliprole,3.308
Pulses,Uttar Pradesh,Rabi,29.0,74.22,7.29,72.33,DAP,90.16,Imidacloprid,2.194
Mustard,Bihar,Kharif,39.44,76.8,7.53,29.2,Urea,106.98,Carbendazim,2.601
Mustard,Bihar,Kharif,31.45,64.87,6.16,35.77,Compost,70.23,Carbendazim,1.516
Wheat,Odisha,Rabi,25.67,78.19,6.36,29.82,Urea,132.97,Propiconazole,2.968
Sugarcane,Odisha,Zaid,26.79,50.79,5.65,45.77,NPK,247.65,Malathion,3.535
Mustard,Karnataka,Zaid,23.76,81.31,5.45,32.84,Compost,65.03,Mancozeb,2.485
Pulses,Maharashtra,Rabi,31.48,49.32,7.24,49.14,Compost,53.55,Mancozeb,1.856
Sugarcane,Odisha,Zaid,27.39,37.53,5.57,30.54,Urea,220.0,Imidacloprid,3.047
Maize,Maharashtra,Kharif,29.5,78.01,7.52,30.56,Urea,121.04,Imidacloprid,3.358
Maize,Punjab,Kharif,30.26,62.9,6.86,25.12,DAP,109.87,Lambda-Cyhalothrin,2.645
Rice,Bihar,Zaid,26.96,56.09,5.87,42.81,Urea,168.72,Chlorpyrifos,2.981
Sugarcane,Punjab,Kharif,19.88,84.28,7.25,47.65,Potash,202.49,Malathion,5.227
Pulses,Tamil Nadu,Kharif,23.37,71.69,5.56,40.3,DAP,91.72,Imidacloprid,1.951
Groundnut,Punjab,Zaid,31.74,74.39,6.52,34.98,Compost,65.22,Dimethoate,3.197
Mustard,Tamil Nadu,Kharif,23.33,57.28,6.33,26.66,SSP,89.14,Carbendazim,1.151
Pulses,Punjab,Kharif,29.99,52.24,7.21,44.16,DAP,87.26,Imidacloprid,1.567
Pulses,Tamil Nadu,Kharif,30.43,74.23,6.37,20.72,NPK,96.31,Mancozeb,2.732
Pulses,Rajasthan,Rabi,25.3,54.86,6.84,49.8,NPK,98.33,Imidacloprid,1.354
Mustard,Tamil Nadu,Rabi,27.52,80.68,5.93,49.07,Compost,69.16,Imidacloprid,2.696
Mustard,Maharashtra,Kharif,29.41,66.01,5.92,28.72,Compost,64.91,Carbendazim,1.69
Groundnut,Odisha,Rabi,25.19,86.56,6.64,32.76,Urea,102.05,Dimethoate,3.683
Maize,Karnataka,Kharif,31.95,56.57,6.81,40.47,Urea,125.05,Lambda-Cyhalothrin,3.071
Wheat,Odisha,Kharif,34.43,69.49,5.49,33.73,NPK,140.34,Mancozeb,3.039
Mustard,Uttar Pradesh,Zaid,31.2,81.02,6.27,34.39,Urea,116.62,Imidacloprid,2.844
Sugarcane,Tamil Nadu,Kharif,33.86,73.11,7.06,43.18,Potash,199.26,Imidacloprid,4.019
Pulses,Rajasthan,Rabi,31.27,62.62,6.4,40.0,Compost,56.82,Imidacloprid,1.675
Maize,Punjab,Kharif,24.79,75.45,5.63,43.41,DAP,111.99,Chlorantraniliprole,3.352
Rice,Rajasthan,Kharif,36.04,62.37,6.58,50.54,DAP,163.91,Imidacloprid,3.371
Wheat,Maharashtra,Kharif,29.2,65.64,7.82,28.47,SSP,112.69,Carbendazim,1.741
Rice,Uttar Pradesh,Rabi,23.5,59.16,6.74,50.3,Urea,170.59,Chlorpyrifos,3.122
Rice,Bihar,Kharif,23.77,87.16,5.9,31.09,Urea,160.23,Cartap Hydrochloride,4.396
Pulses,Tamil Nadu,Rabi,34.36,67.05,6.51,60.81,DAP,98.3,Imidacloprid,2.551
Rice,Rajasthan,Rabi,29.45,92.2,4.72,44.95,MOP,145.94,Chlorpyrifos,5.362
Sugarcane,Odisha,Rabi,25.08,54.16,5.78,42.27,NPK,244.3,Malathion,3.675
Groundnut,Uttar Pradesh,Kharif,34.58,74.11,6.49,37.52,Gypsum,60.28,Carbendazim,3.029
Cotton,Karnataka,Zaid,28.42,88.99,5.65,49.16,Potash,155.09,Buprofezin,3.882
Wheat,Uttar Pradesh,Rabi,26.06,81.61,7.08,47.24,SSP,119.8,Mancozeb,3.273
Maize,Tamil Nadu,Kharif,27.41,62.69,6.61,36.35,Compost,70.98,Chlorantraniliprole,2.454
Groundnut,Punjab,Zaid,29.43,69.88,6.5,43.54,Urea,111.81,Dimethoate,2.968
Rice,Rajasthan,Kharif,30.91,74.73,5.69,22.38,Urea,160.55,Imidacloprid,3.293
Rice,Rajasthan,Rabi,28.8,60.76,7.97,67.95,DAP,160.17,Cartap Hydrochloride,3.548
Mustard,Odisha,Rabi,23.66,54.18,6.26,54.67,Urea,114.6,Carbendazim,1.363
Groundnut,Bihar,Kharif,25.8,70.57,6.49,35.31,Gypsum,50.36,Chlorpyrifos,2.784
Pulses,Bihar,Kharif,25.52,77.02,5.75,24.75,Compost,53.82,Imidacloprid,2.305
Maize,Bihar,Zaid,24.64,69.24,7.69,62.6,Urea,125.49,Imidacloprid,2.982
Sugarcane,Rajasthan,Kharif,31.43,57.65,6.29,38.47,Urea,229.53,Chlorpyrifos,3.823
Maize,Tamil Nadu,Zaid,30.56,76.28,6.54,58.17,Urea,128.39,Chlorantraniliprole,3.954
Groundnut,Rajasthan,Rabi,26.26,81.06,6.24,42.49,Compost,68.96,Carbendazim,2.59
Pulses,Tamil Nadu,Kharif,31.43,66.47,6.12,27.87,DAP,86.34,Mancozeb,2.218
Groundnut,Maharashtra,Kharif,31.38,77.66,5.7,33.67,Urea,94.25,Chlorpyrifos,3.239
Maize,Rajasthan,Kharif,27.42,70.72,6.46,45.3,Compost,73.63,Chlorantraniliprole,2.937
Sugarcane,Odisha,Zaid,26.8,69.82,6.22,55.62,Urea,239.84,Malathion,4.722
Groundnut,Karnataka,Zaid,30.94,68.84,5.82,54.61,Compost,64.11,Chlorpyrifos,3.146
Mustard,Punjab,Kharif,36.59,64.75,6.55,57.82,Compost,70.38,Imidacloprid,2.377
Groundnut,Punjab,Kharif,29.52,57.32,6.26,42.37,Gypsum,52.03,Carbendazim,1.758
Maize,Odisha,Zaid,30.36,75.92,6.03,17.95,Urea,122.64,Chlorantraniliprole,3.442
Sugarcane,Punjab,Kharif,27.1,33.02,5.16,55.9,Potash,197.82,Malathion,3.472
Wheat,Odisha,Rabi,24.51,60.81,6.27,77.36,Urea,149.88,Propiconazole,2.313
Sugarcane,Odisha,Zaid,29.15,63.21,7.51,31.65,NPK,243.01,Chlorpyrifos,3.512
Wheat,Punjab,Zaid,36.25,63.86,7.15,25.83,Urea,130.85,Carbendazim,1.945
Sugarcane,Karnataka,Kharif,26.55,74.9,7.31,50.78,NPK,248.24,Imidacloprid,4.202
Mustard,Karnataka,Kharif,21.02,83.78,6.74,60.19,Urea,122.26,Carbendazim,2.951
Groundnut,Bihar,Kharif,32.68,77.89,7.09,47.92,Gypsum,53.82,Carbendazim,2.885
Mustard,Punjab,Rabi,22.17,79.61,6.64,61.83,Compost,70.68,Carbendazim,2.4
Rice,Rajasthan,Rabi,29.85,67.68,5.8,25.87,DAP,145.06,Cartap Hydrochloride,3.375
Rice,Karnataka,Rabi,21.17,50.93,6.43,38.06,Urea,159.6,Imidacloprid,2.82
Mustard,Karnataka,Kharif,31.25,77.34,5.78,40.11,Compost,64.62,Mancozeb,2.916
Rice,Punjab,Rabi,32.82,80.65,5.61,23.88,Urea,157.07,Cartap Hydrochloride,4.48
Mustard,Odisha,Zaid,23.71,75.6,6.17,63.02,SSP,105.02,Imidacloprid,2.575
Groundnut,Uttar Pradesh,Zaid,27.15,90.75,6.49,37.88,Urea,107.45,Dimethoate,4.077
Rice,Tamil Nadu,Zaid,29.37,75.06,6.31,44.56,DAP,164.04,Chlorpyrifos,4.173
Groundnut,Punjab,Rabi,30.56,87.45,5.35,56.24,Gypsum,57.44,Chlorpyrifos,4.247
Mustard,Tamil Nadu,Zaid,27.6,77.36,6.99,39.12,SSP,101.98,Imidacloprid,2.646
Pulses,Maharashtra,Zaid,26.21,76.42,6.86,51.38,Compost,58.47,Imidacloprid,2.424
Cotton,Karnataka,Rabi,32.24,49.81,6.68,28.19,Compost,100.79,Buprofezin,2.504
Groundnut,Tamil Nadu,Kharif,26.46,62.07,5.88,30.97,Compost,65.29,Chlorpyrifos,2.259
Groundnut,Bihar,Kharif,31.6,47.33,6.69,31.01,Compost,57.38,Dimethoate,2.129
Groundnut,Tamil Nadu,Kharif,31.34,64.03,6.73,56.7,Gypsum,57.12,Chlorpyrifos,3.174
Cotton,Tamil Nadu,Kharif,29.92,91.08,7.18,59.53,Compost,112.03,Buprofezin,4.177
Cotton,Rajasthan,Kharif,22.43,74.93,6.92,39.25,Compost,107.2,Imidacloprid,3.146
Cotton,Tamil Nadu,Rabi,29.45,87.6,6.93,29.71,NPK,189.35,Buprofezin,3.885
Wheat,Uttar Pradesh,Kharif,28.5,84.28,6.07,29.09,SSP,116.18,Propiconazole,3.54
Cotton,Odisha,Kharif,26.34,69.83,6.22,42.33,Compost,108.21,Acephate,3.531
Groundnut,Uttar Pradesh,Zaid,27.78,67.46,7.05,40.56,Gypsum,54.4,Chlorpyrifos,2.944
Pulses,Karnataka,Kharif,26.75,53.79,6.96,56.89,DAP,98.57,Thiamethoxam,1.939
Groundnut,Odisha,Kharif,36.43,73.4,6.56,36.65,Gypsum,53.15,Carbendazim,2.849
Cotton,Uttar Pradesh,Rabi,25.74,57.01,6.25,33.48,Potash,144.05,Buprofezin,2.707
Wheat,Bihar,Zaid,27.21,89.7,6.9,33.77,NPK,151.29,Mancozeb,3.821
Cotton,Karnataka,Rabi,25.76,56.41,6.73,32.18,NPK,174.22,Imidacloprid,2.205
Pulses,Karnataka,Rabi,22.93,77.88,6.67,30.96,Compost,52.98,Mancozeb,2.439
Groundnut,Odisha,Kharif,30.18,71.48,6.08,37.09,Compost,59.0,Carbendazim,2.468
Pulses,Tamil Nadu,Rabi,33.21,91.11,6.98,54.87,NPK,114.21,Imidacloprid,3.731
Cotton,Punjab,Rabi,22.48,64.43,5.87,45.59,Potash,141.79,Acephate,2.851
Groundnut,Maharashtra,Rabi,29.45,66.2,6.22,33.87,Urea,107.47,Carbendazim,2.336
Cotton,Odisha,Rabi,29.41,76.59,6.69,45.15,Compost,109.78,Imidacloprid,3.408
Maize,Tamil Nadu,Kharif,22.97,63.84,7.07,47.4,Urea,122.8,Chlorantraniliprole,2.77
Mustard,Rajasthan,Rabi,31.69,85.07,6.23,41.04,Compost,69.8,Imidacloprid,3.495
Sugarcane,Uttar Pradesh,Kharif,23.56,63.95,6.49,70.9,NPK,260.14,Chlorpyrifos,4.226
Pulses,Uttar Pradesh,Rabi,29.7,80.12,6.01,45.84,DAP,96.33,Thiamethoxam,3.314
Wheat,Odisha,Kharif,28.9,70.89,6.49,49.82,SSP,120.02,Mancozeb,2.603
Maize,Odisha,Rabi,25.59,74.24,5.8,56.09,Urea,131.91,Lambda-Cyhalothrin,3.893
Pulses,Tamil Nadu,Kharif,25.31,66.3,6.37,34.8,DAP,93.7,Thiamethoxam,1.685
Mustard,Uttar Pradesh,Kharif,27.49,94.06,6.74,45.04,SSP,109.0,Imidacloprid,3.528
Mustard,Rajasthan,Rabi,31.5,59.68,6.48,71.68,Urea,133.87,Carbendazim,1.995
Wheat,Rajasthan,Zaid,34.04,67.33,6.12,61.04,SSP,128.54,Mancozeb,2.988
Pulses,Karnataka,Rabi,31.05,52.39,5.61,51.19,Compost,57.66,Thiamethoxam,1.861
Pulses,Uttar Pradesh,Rabi,29.54,57.16,6.57,50.41,DAP,96.94,Imidacloprid,1.669
Mustard,Punjab,Rabi,31.54,61.36,6.87,37.05,Urea,109.74,Carbendazim,1.4
Wheat,Rajasthan,Zaid,28.49,76.2,6.48,23.69,SSP,123.51,Mancozeb,2.529
Mustard,Maharashtra,Zaid,30.07,62.58,6.5,40.25,Urea,110.86,Carbendazim,1.942
Rice,Tamil Nadu,Kharif,24.55,59.5,6.77,40.62,MOP,146.27,Chlorpyrifos,3.07
Pulses,Karnataka,Kharif,30.87,78.89,6.33,47.93,NPK,104.9,Mancozeb,3.032
Groundnut,Odisha,Zaid,31.85,84.9,7.32,35.89,Urea,103.57,Dimethoate,3.623
Groundnut,Bihar,Kharif,20.1,58.76,7.4,58.58,Compost,57.93,Chlorpyrifos,2.438
Groundnut,Uttar Pradesh,Kharif,34.9,52.14,6.8,60.09,Compost,60.01,Carbendazim,1.955
Groundnut,Odisha,Zaid,26.28,66.46,6.39,23.55,Gypsum,49.64,Carbendazim,1.665
Sugarcane,Maharashtra,Kharif,20.1,58.07,7.18,32.38,Urea,226.83,Chlorpyrifos,3.207
Rice,Punjab,Zaid,28.93,53.64,6.99,44.12,Urea,166.34,Imidacloprid,2.828
Mustard,Tamil Nadu,Kharif,28.54,55.53,6.91,30.76,Urea,106.12,Mancozeb,1.609
Cotton,Rajasthan,Rabi,30.67,88.65,6.63,43.62,NPK,194.97,Acephate,4.799
Groundnut,Odisha,Zaid,29.93,66.13,6.72,14.78,Urea,96.72,Dimethoate,2.402
Mustard,Rajasthan,Rabi,32.65,68.35,6.7,34.3,SSP,98.04,Imidacloprid,2.3
Rice,Tamil Nadu,Rabi,28.66,57.67,5.9,38.58,Urea,160.61,Imidacloprid,2.901
Rice,Uttar Pradesh,Zaid,35.19,83.63,5.92,59.18,Urea,170.82,Chlorpyrifos,5.192
Sugarcane,Punjab,Rabi,27.95,79.91,6.21,47.71,Potash,205.66,Imidacloprid,4.235
Groundnut,Karnataka,Zaid,23.58,83.72,6.57,36.21,Urea,104.02,Chlorpyrifos,3.616
Maize,Bihar,Kharif,29.45,89.88,5.92,25.76,Urea,119.34,Imidacloprid,3.533
Maize,Tamil Nadu,Zaid,27.66,64.01,6.3,37.16,Compost,75.88,Chlorantraniliprole,2.596
Cotton,Bihar,Zaid,32.38,69.53,5.6,33.42,Compost,102.16,Acephate,3.686
Mustard,Bihar,Zaid,27.05,75.89,6.67,31.55,Compost,64.98,Carbendazim,2.229
Sugarcane,Punjab,Rabi,33.51,74.69,5.64,16.52,Potash,188.57,Malathion,4.44
Maize,Rajasthan,Rabi,37.71,74.46,6.44,27.51,Urea,135.27,Lambda-Cyhalothrin,3.906
Sugarcane,Punjab,Rabi,32.8,49.78,6.5,56.47,NPK,247.19,Malathion,3.781
Groundnut,Punjab,Zaid,26.32,74.19,6.21,54.03,Gypsum,55.79,Chlorpyrifos,2.975
Mustard,Uttar Pradesh,Kharif,22.22,57.15,6.53,40.35,Compost,71.33,Imidacloprid,1.438
Maize,Uttar Pradesh,Rabi,31.88,66.63,5.79,68.88,DAP,135.82,Chlorantraniliprole,3.223
Pulses,Karnataka,Zaid,30.89,98.11,7.02,35.49,DAP,92.68,Imidacloprid,3.734
Cotton,Rajasthan,Kharif,27.34,70.14,5.58,37.18,Compost,95.64,Acephate,3.155
Sugarcane,Punjab,Kharif,30.38,60.41,6.28,45.3,Urea,239.01,Malathion,3.789
Mustard,Maharashtra,Kharif,30.57,60.5,6.39,37.11,Urea,115.47,Imidacloprid,1.593
Pulses,Tamil Nadu,Kharif,31.51,55.07,6.45,36.85,DAP,89.65,Mancozeb,1.91
Sugarcane,Karnataka,Zaid,29.78,72.96,6.31,43.47,Potash,198.08,Chlorpyrifos,4.582
Pulses,Uttar Pradesh,Rabi,29.42,70.43,7.64,62.47,DAP,96.34,Thiamethoxam,2.747
Groundnut,Maharashtra,Zaid,19.14,78.31,5.9,40.38,Urea,105.25,Carbendazim,2.508
