Crop,Region,Season,Temperature_C,Humidity_%,Soil_pH,Soil_Moisture_%,Fertilizer_Name,Fertilizer_Amount_kg_per_acre,Pesticide_Name,Pesticide_Amount_kg_per_acre
Wheat,Karnataka,Zaid,25.41,62.29,6.24,49.23,SSP,121.91,Carbendazim,1.617
Rice,Bihar,Kharif,29.31,78.41,7.04,21.15,MOP,149.0,Chlorpyrifos,3.865
Groundnut,Karnataka,Kharif,23.48,67.22,6.3,18.08,Urea,98.81,Dimethoate,2.311
Groundnut,Tamil Nadu,Kharif,29.5,60.59,6.69,62.02,Gypsum,54.75,Chlorpyrifos,2.152
Maize,Tamil Nadu,Zaid,22.3,56.63,6.12,32.87,Urea,114.62,Imidacloprid,1.832
Potato,Punjab,Zaid,16.71,87.52,7.54,38.78,Urea,189.28,Cartap Hydrochloride,3.928
Rice,West Bengal,Rabi,30.93,80.15,6.84,36.6,MOP,146.68,Cartap Hydrochloride,3.808
Rice,Bihar,Kharif,29.67,42.59,5.72,47.9,DAP,157.68,Chlorpyrifos,3.557
Cotton,Uttar Pradesh,Kharif,31.61,72.24,6.3,49.67,Compost,110.62,Imidacloprid,2.873
Wheat,West Bengal,Zaid,18.94,75.96,6.57,44.38,SSP,120.07,Carbendazim,2.094
Mustard,Odisha,Zaid,21.24,94.51,6.48,23.5,Urea,111.71,Mancozeb,3.531
Wheat,Odisha,Kharif,24.88,79.93,6.86,25.78,Urea,126.9,Mancozeb,2.959
Maize,Andhra Pradesh,Zaid,26.53,62.99,7.01,11.91,DAP,107.01,Imidacloprid,2.121
Sugarcane,Tamil Nadu,Rabi,29.02,65.68,5.71,73.71,Urea,234.75,Imidacloprid,3.386
Sugarcane,Tamil Nadu,Rabi,31.59,69.23,6.32,54.78,Urea,236.07,Imidacloprid,3.662
Groundnut,Karnataka,Rabi,30.38,62.42,5.58,32.87,Urea,94.37,Dimethoate,2.37
Groundnut,Punjab,Rabi,26.25,72.47,6.64,32.61,Gypsum,42.88,Carbendazim,2.307
Groundnut,Punjab,Zaid,25.92,56.3,6.11,48.32,Gypsum,47.14,Carbendazim,1.581
Cotton,West Bengal,Kharif,25.73,71.73,6.03,55.11,Potash,154.91,Buprofezin,2.97
Cotton,Punjab,Rabi,21.86,68.66,6.62,42.88,Potash,149.06,Imidacloprid,3.067
Rice,Karnataka,Rabi,24.02,66.78,6.4,30.14,Urea,155.91,Cartap Hydrochloride,3.177
Mustard,Tamil Nadu,Kharif,20.76,91.39,6.26,31.48,SSP,103.7,Carbendazim,2.641
Mustard,Bihar,Rabi,31.56,49.85,6.98,48.56,SSP,108.63,Imidacloprid,1.646
Rice,Odisha,Kharif,23.53,66.8,6.72,47.59,MOP,152.32,Cartap Hydrochloride,3.321
Cotton,Maharashtra,Zaid,27.85,87.12,6.84,44.95,Potash,149.71,Buprofezin,3.523
Cotton,Punjab,Kharif,24.8,79.76,6.29,41.58,Compost,99.49,Acephate,4.027
Pulses,Andhra Pradesh,Zaid,28.36,63.75,6.74,34.62,NPK,96.26,Mancozeb,1.863
Groundnut,Uttar Pradesh,Kharif,25.69,75.03,5.91,40.7,Compost,65.25,Dimethoate,2.821
Pulses,Odisha,Kharif,32.65,59.7,6.16,49.76,NPK,101.29,Mancozeb,1.847
Pulses,Tamil Nadu,Zaid,27.94,67.43,6.18,28.66,DAP,83.11,Thiamethoxam,1.955
Maize,Punjab,Kharif,35.04,56.38,7.11,28.71,Compost,71.36,Chlorantraniliprole,2.637
Potato,Bihar,Zaid,19.66,74.05,5.51,43.42,Urea,190.51,Mancozeb,3.25
Potato,Tamil Nadu,Kharif,19.03,66.84,7.16,34.83,Urea,186.02,Cartap Hydrochloride,2.917
Maize,Punjab,Zaid,31.94,83.0,6.37,23.9,Compost,72.2,Chlorantraniliprole,3.699
Pulses,Uttar Pradesh,Rabi,32.13,74.54,7.02,24.46,Compost,49.99,Mancozeb,2.786
Groundnut,Karnataka,Kharif,34.09,66.63,7.38,42.79,Urea,104.21,Carbendazim,1.903
Jowar,Rajasthan,Rabi,30.55,78.54,6.1,32.2,SSP,94.32,Chlorpyrifos,3.12
Maize,Rajasthan,Kharif,29.3,58.94,6.1,40.76,DAP,120.73,Chlorantraniliprole,2.712
Groundnut,Punjab,Zaid,29.96,58.14,5.89,21.82,Urea,92.34,Dimethoate,1.713
Sugarcane,Uttar Pradesh,Zaid,34.96,68.58,7.06,52.95,Urea,234.66,Chlorpyrifos,4.539
Wheat,Uttar Pradesh,Rabi,26.77,71.07,6.37,5.6,NPK,135.2,Mancozeb,2.38
Cotton,Uttar Pradesh,Kharif,22.24,84.74,6.04,49.36,Compost,110.73,Acephate,4.21
Wheat,Karnataka,Kharif,35.25,58.3,6.17,23.37,NPK,133.8,Mancozeb,2.081
Pulses,Odisha,Rabi,15.22,75.72,6.73,38.78,Compost,52.27,Mancozeb,2.421
Jowar,Odisha,Kharif,26.2,68.27,6.56,48.63,Urea,118.32,Imidacloprid,2.282
Maize,Uttar Pradesh,Zaid,29.77,59.86,6.12,53.47,Urea,123.29,Chlorantraniliprole,2.611
Maize,Uttar Pradesh,Kharif,27.48,69.49,7.0,27.97,Urea,122.62,Lambda-Cyhalothrin,3.245
Maize,Bihar,Zaid,28.32,48.46,5.95,34.74,Urea,120.56,Lambda-Cyhalothrin,2.662
Mustard,Bihar,Zaid,26.6,53.63,6.58,31.69,SSP,97.47,Mancozeb,1.791
Cotton,Uttar Pradesh,Kharif,25.91,59.77,6.92,43.53,NPK,173.11,Buprofezin,2.457
Mustard,Punjab,Zaid,24.78,61.57,6.03,31.73,Compost,66.1,Mancozeb,1.68
Wheat,Andhra Pradesh,Kharif,26.19,55.61,6.35,63.45,SSP,123.07,Propiconazole,2.143
Wheat,Karnataka,Zaid,22.78,90.05,6.62,40.75,Urea,137.69,Propiconazole,3.134
Cotton,Bihar,Rabi,26.12,92.42,7.06,51.58,NPK,187.81,Imidacloprid,4.261
Maize,Bihar,Rabi,27.31,67.2,6.32,53.87,Urea,127.93,Imidacloprid,2.558
Mustard,Andhra Pradesh,Kharif,28.63,66.2,6.29,48.37,Compost,68.9,Carbendazim,1.907
Mustard,Uttar Pradesh,Zaid,33.86,30,6.85,44.29,Urea,108.07,Carbendazim,1.593
Mustard,Maharashtra,Rabi,30.09,79.85,6.03,40.33,Compost,73.89,Mancozeb,2.852
Potato,West Bengal,Zaid,21.17,72.29,6.94,7.47,DAP,171.97,Mancozeb,2.72
Groundnut,Tamil Nadu,Kharif,26.38,71.81,6.48,25.42,Compost,60.08,Chlorpyrifos,2.561
Mustard,Maharashtra,Zaid,36.61,61.67,6.91,49.12,Urea,115.56,Imidacloprid,2.108
Sugarcane,Tamil Nadu,Rabi,26.84,86.04,6.25,29.67,Urea,235.35,Imidacloprid,4.15
Wheat,Uttar Pradesh,Rabi,27.25,64.53,6.1,58.44,Urea,148.16,Propiconazole,2.037
Groundnut,Maharashtra,Kharif,34.92,61.21,6.5,32.45,Urea,103.31,Chlorpyrifos,2.621
Groundnut,Rajasthan,Zaid,25.83,65.04,6.14,55.29,Compost,64.59,Dimethoate,2.532
Groundnut,Maharashtra,Kharif,24.0,66.86,6.59,32.76,Compost,63.04,Chlorpyrifos,2.313
Potato,Tamil Nadu,Kharif,13.77,61.23,6.76,49.91,Urea,191.76,Carbendazim,1.958
Potato,Bihar,Zaid,19.4,79.81,6.33,32.44,MOP,176.74,Cartap Hydrochloride,3.92
Wheat,Bihar,Kharif,29.43,75.69,6.49,51.18,SSP,123.9,Mancozeb,3.292
Jowar,Maharashtra,Kharif,28.1,79.79,6.96,40.04,Urea,112.85,Imidacloprid,2.891
Maize,Karnataka,Kharif,25.56,75.02,7.16,39.47,Urea,124.25,Lambda-Cyhalothrin,3.45
Cotton,Tamil Nadu,Rabi,28.43,65.04,6.69,40.67,NPK,189.24,Acephate,3.059
Maize,Maharashtra,Rabi,28.09,56.71,6.78,37.88,Compost,74.04,Lambda-Cyhalothrin,2.695
Rice,Uttar Pradesh,Kharif,25.14,82.92,5.92,45.39,MOP,152.28,Cartap Hydrochloride,4.238
Sugarcane,Uttar Pradesh,Kharif,33.09,70.33,6.11,16.99,NPK,240.32,Chlorpyrifos,4.705
Jowar,Andhra Pradesh,Zaid,25.83,96.08,6.82,73.85,SSP,111.95,Lambda-Cyhalothrin,4.449
Sugarcane,Tamil Nadu,Zaid,28.8,70.09,6.09,21.5,Urea,226.78,Malathion,3.966
Cotton,Andhra Pradesh,Kharif,26.52,53.64,7.65,33.97,NPK,165.2,Acephate,2.762
Sugarcane,Tamil Nadu,Zaid,28.19,82.97,6.81,47.36,Urea,236.41,Imidacloprid,4.238
Groundnut,Rajasthan,Zaid,29.83,73.83,5.85,62.12,Urea,108.3,Dimethoate,3.299
Cotton,Punjab,Rabi,27.3,65.02,6.55,48.79,Compost,108.06,Acephate,2.918
Cotton,Tamil Nadu,Zaid,24.45,67.32,5.38,23.48,Potash,136.12,Buprofezin,2.226
Groundnut,Odisha,Rabi,22.89,62.21,6.56,40.62,Urea,104.13,Dimethoate,2.131
Mustard,Punjab,Rabi,29.62,57.25,6.87,31.36,Compost,70.83,Carbendazim,1.506
Pulses,Uttar Pradesh,Zaid,29.86,59.94,6.64,5,Compost,43.78,Mancozeb,1.481
Maize,West Bengal,Rabi,24.03,61.93,5.89,29.5,Compost,71.68,Lambda-Cyhalothrin,2.439
Groundnut,Uttar Pradesh,Kharif,33.34,81.79,6.5,33.29,Urea,108.59,Carbendazim,3.118
Groundnut,Karnataka,Rabi,22.34,83.88,6.32,45.06,Compost,60.26,Carbendazim,2.258
Maize,Bihar,Kharif,33.28,78.8,5.48,52.24,Compost,79.93,Lambda-Cyhalothrin,4.043
Groundnut,Uttar Pradesh,Zaid,26.55,62.62,6.29,41.67,Urea,99.11,Chlorpyrifos,2.306
Rice,Rajasthan,Rabi,28.74,78.36,5.92,38.86,DAP,156.59,Cartap Hydrochloride,4.133
Wheat,Punjab,Rabi,24.03,74.32,6.12,43.78,SSP,126.54,Propiconazole,2.854
Sugarcane,Tamil Nadu,Kharif,26.86,63.65,5.53,63.05,Potash,206.72,Malathion,3.8
Potato,Karnataka,Kharif,24.34,56.79,6.33,29.64,DAP,176.12,Carbendazim,2.321
Mustard,Karnataka,Zaid,34.87,74.11,7.35,48.56,Urea,113.4,Carbendazim,2.58
Maize,Maharashtra,Rabi,21.79,56.62,6.37,69.01,Urea,130.04,Imidacloprid,2.051
Jowar,Uttar Pradesh,Kharif,24.37,79.94,7.34,53.07,SSP,103.37,Chlorpyrifos,2.972
Maize,Rajasthan,Kharif,28.67,61.51,6.49,41.65,DAP,125.16,Lambda-Cyhalothrin,2.619
Mustard,Tamil Nadu,Zaid,22.77,72.18,5.61,42.48,Urea,108.25,Imidacloprid,2.077
Mustard,West Bengal,Rabi,29.8,78.41,5.85,57.35,Compost,77.6,Carbendazim,2.589
Wheat,West Bengal,Rabi,22.08,46.39,6.18,37.19,Urea,137.23,Carbendazim,1.248
Wheat,West Bengal,Kharif,25.89,74.42,5.75,22.47,Urea,128.76,Propiconazole,2.195
Groundnut,Andhra Pradesh,Kharif,22.82,69.22,6.98,51.76,Compost,60.86,Chlorpyrifos,2.566
Groundnut,Andhra Pradesh,Kharif,23.6,79.13,6.32,31.84,Compost,63.54,Dimethoate,2.784
Groundnut,Maharashtra,Rabi,31.64,82.73,7.53,35.69,Compost,63.9,Chlorpyrifos,3.646
Jowar,Karnataka,Rabi,31.11,48.24,6.06,21.77,SSP,86.44,Lambda-Cyhalothrin,2.034
Jowar,Uttar Pradesh,Zaid,25.91,59.35,6.72,47.02,Urea,111.22,Imidacloprid,1.626
Potato,Bihar,Kharif,24.48,75.44,6.4,25.81,DAP,177.96,Mancozeb,3.301
Maize,Punjab,Kharif,24.14,44.1,6.36,30.49,Urea,119.13,Lambda-Cyhalothrin,2.546
Groundnut,Punjab,Zaid,24.55,71.34,6.31,59.17,Urea,108.92,Chlorpyrifos,2.994
Groundnut,Maharashtra,Zaid,35.24,69.5,6.54,28.96,Urea,103.35,Dimethoate,2.831
Jowar,Uttar Pradesh,Zaid,27.79,62.74,6.6,68.47,NPK,128.49,Chlorpyrifos,2.507
Cotton,Odisha,Zaid,27.55,84.06,6.65,34.52,Potash,148.44,Buprofezin,3.425
Mustard,Andhra Pradesh,Zaid,23.77,76.06,6.38,34.53,Urea,114.12,Mancozeb,2.729
Jowar,Uttar Pradesh,Rabi,26.43,61.76,7.19,59.24,SSP,102.94,Lambda-Cyhalothrin,2.095
Pulses,West Bengal,Kharif,27.34,71.28,7.18,50.35,DAP,90.36,Thiamethoxam,2.312
Jowar,Maharashtra,Rabi,29.17,80.15,7.31,65.45,Urea,114.59,Lambda-Cyhalothrin,3.67
Wheat,Andhra Pradesh,Zaid,23.73,63.86,6.44,47.46,NPK,143.04,Propiconazole,2.155
Wheat,Bihar,Rabi,26.61,69.54,5.75,22.41,SSP,114.92,Carbendazim,2.043
Wheat,Maharashtra,Zaid,23.93,76.05,6.98,45.76,NPK,141.12,Propiconazole,2.581
Cotton,Uttar Pradesh,Rabi,32.28,56.35,6.89,32.78,NPK,176.03,Buprofezin,2.289
Mustard,Bihar,Rabi,22.19,73.31,5.92,33.68,Compost,70.06,Carbendazim,2.034
Sugarcane,Karnataka,Kharif,27.5,60.89,6.54,54.01,Potash,205.75,Malathion,3.819
Maize,West Bengal,Rabi,30.07,61.65,6.34,44.37,Urea,128.09,Chlorantraniliprole,2.625
Maize,Tamil Nadu,Kharif,31.63,75.07,5.78,38.3,DAP,118.22,Chlorantraniliprole,3.244
Wheat,Tamil Nadu,Kharif,30.47,68.35,7.62,62.95,SSP,121.76,Carbendazim,2.393
Sugarcane,Andhra Pradesh,Rabi,26.56,61.12,5.69,36.03,Potash,200.0,Malathion,3.555
Groundnut,Tamil Nadu,Kharif,24.81,39.26,6.77,46.1,Compost,56.7,Dimethoate,1.791
Mustard,Maharashtra,Rabi,26.18,53.01,6.22,33.59,Compost,66.03,Carbendazim,1.243
Cotton,Bihar,Kharif,25.56,50.07,7.03,55.0,Compost,105.86,Buprofezin,2.418
Jowar,Rajasthan,Zaid,23.59,53.01,6.17,48.85,SSP,97.71,Chlorpyrifos,1.521
Maize,Uttar Pradesh,Rabi,25.92,76.37,6.33,38.91,Urea,120.95,Lambda-Cyhalothrin,3.741
Cotton,Rajasthan,Zaid,32.28,62.54,5.98,55.36,Compost,104.2,Buprofezin,2.744
Pulses,Rajasthan,Rabi,28.13,67.8,6.0,45.54,Compost,55.33,Mancozeb,2.286
Wheat,Odisha,Kharif,31.6,58.86,6.82,37.61,SSP,119.74,Carbendazim,1.721
Mustard,Andhra Pradesh,Zaid,27.56,77.13,7.27,67.72,SSP,106.98,Carbendazim,2.548
Mustard,Karnataka,Zaid,30.06,43.65,6.62,28.79,SSP,94.02,Imidacloprid,1.277
Jowar,West Bengal,Zaid,19.89,65.16,6.38,23.19,SSP,91.79,Lambda-Cyhalothrin,2.376
Cotton,Odisha,Zaid,29.33,52.14,6.18,45.92,Potash,148.2,Acephate,3.03
Cotton,Tamil Nadu,Zaid,27.76,75.65,6.47,65.54,NPK,193.32,Buprofezin,3.353
Sugarcane,Punjab,Rabi,29.67,69.54,6.79,36.45,Urea,228.38,Chlorpyrifos,3.899
Sugarcane,Karnataka,Zaid,33.61,93.14,6.05,34.76,Potash,204.6,Chlorpyrifos,6.106
Potato,Tamil Nadu,Zaid,17.92,55.52,5.71,37.47,MOP,165.66,Mancozeb,2.408
Wheat,Karnataka,Zaid,26.58,61.89,6.27,22.11,NPK,133.91,Propiconazole,1.761
Cotton,Maharashtra,Zaid,28.63,47.55,7.21,25.5,Potash,141.66,Imidacloprid,2.476
Groundnut,Bihar,Kharif,25.04,87.44,6.78,19.2,Urea,99.77,Chlorpyrifos,3.302
Cotton,Punjab,Zaid,32.2,61.12,5.75,48.99,Potash,146.6,Buprofezin,2.809
Wheat,West Bengal,Rabi,27.76,72.81,6.29,34.26,SSP,127.86,Mancozeb,2.474
Rice,Uttar Pradesh,Kharif,27.6,64.13,6.17,51.24,DAP,162.83,Imidacloprid,2.988
Sugarcane,Bihar,Kharif,27.64,92.08,6.85,51.72,Urea,245.12,Imidacloprid,4.627
Maize,Odisha,Rabi,22.95,56.74,6.57,41.82,Urea,125.42,Chlorantraniliprole,1.999
Potato,Odisha,Rabi,23.34,62.68,7.09,33.9,Urea,199.56,Carbendazim,1.993
Groundnut,Rajasthan,Rabi,21.29,88.7,5.83,40.54,Gypsum,49.79,Chlorpyrifos,3.765
Sugarcane,Bihar,Zaid,30.18,73.25,7.5,42.63,NPK,240.37,Imidacloprid,3.656
Mustard,Uttar Pradesh,Rabi,24.48,97.17,6.01,35.24,Compost,70.32,Imidacloprid,3.152
Jowar,West Bengal,Kharif,26.55,91.91,5.68,75.45,SSP,109.57,Imidacloprid,3.673
Cotton,Bihar,Kharif,25.12,100,5.75,46.66,Potash,148.0,Buprofezin,4.221
Maize,Maharashtra,Rabi,19.94,78.11,6.66,66.13,Compost,79.41,Chlorantraniliprole,3.557
Groundnut,West Bengal,Zaid,34.47,85.94,6.45,36.6,Gypsum,51.18,Carbendazim,3.039
Sugarcane,Andhra Pradesh,Rabi,27.34,53.98,6.36,39.96,Potash,196.0,Imidacloprid,3.147
Sugarcane,Uttar Pradesh,Rabi,31.05,58.91,7.04,35.4,NPK,249.72,Chlorpyrifos,3.838
Cotton,Punjab,Rabi,25.1,74.29,5.82,20.98,NPK,172.55,Imidacloprid,3.056
Mustard,Tamil Nadu,Rabi,24.92,62.96,6.09,64.33,Compost,73.36,Carbendazim,1.616
Jowar,Punjab,Rabi,29.54,57.44,4.93,60.5,Urea,108.44,Lambda-Cyhalothrin,2.336
Potato,Rajasthan,Zaid,20.27,46.25,7.63,69.48,DAP,178.77,Mancozeb,2.998
Groundnut,Odisha,Zaid,31.6,62.57,6.29,47.42,Gypsum,48.45,Dimethoate,2.366
Mustard,Uttar Pradesh,Rabi,28.18,59.85,6.36,38.18,Compost,71.9,Imidacloprid,1.759
Groundnut,Maharashtra,Kharif,25.97,87.61,6.66,28.89,Compost,59.94,Dimethoate,3.688
Jowar,Odisha,Kharif,27.84,67.63,7.09,37.67,Urea,111.69,Imidacloprid,2.255
Sugarcane,Uttar Pradesh,Kharif,26.11,65.5,6.98,40.99,Potash,210.2,Imidacloprid,3.445
Sugarcane,Uttar Pradesh,Kharif,24.12,59.19,6.81,53.42,Urea,246.95,Imidacloprid,3.029
Pulses,West Bengal,Kharif,28.64,68.43,6.54,55.32,DAP,92.31,Imidacloprid,2.073
Maize,Punjab,Rabi,27.31,60.55,6.79,12.77,Compost,67.67,Lambda-Cyhalothrin,2.62
Maize,Karnataka,Zaid,26.06,79.62,6.81,34.89,Urea,120.96,Imidacloprid,2.889
Wheat,Karnataka,Kharif,21.24,67.1,7.23,23.92,NPK,128.8,Mancozeb,2.201
Sugarcane,Tamil Nadu,Rabi,28.6,47.51,6.89,35.15,Urea,227.54,Imidacloprid,2.9
Maize,Bihar,Zaid,21.26,57.91,7.2,63.98,Urea,129.99,Imidacloprid,2.038
Sugarcane,Andhra Pradesh,Rabi,32.27,68.97,6.35,63.23,Urea,248.94,Chlorpyrifos,4.726
Rice,Bihar,Rabi,29.75,80.2,7.31,41.78,DAP,153.56,Imidacloprid,3.671
Pulses,Odisha,Rabi,26.73,65.87,6.96,41.22,NPK,93.61,Mancozeb,2.169
Wheat,Odisha,Rabi,27.34,61.6,6.21,33.46,SSP,121.66,Carbendazim,1.413
Groundnut,Andhra Pradesh,Zaid,34.02,69.67,6.61,70.18,Gypsum,63.05,Dimethoate,3.229
Pulses,Maharashtra,Rabi,22.21,56.21,7.16,52.66,DAP,87.73,Thiamethoxam,1.543
Rice,Karnataka,Rabi,29.95,66.34,6.22,45.57,DAP,154.73,Cartap Hydrochloride,3.087
Rice,West Bengal,Rabi,29.3,76.26,7.0,31.43,DAP,157.66,Chlorpyrifos,4.444
Potato,Bihar,Kharif,18.51,60.98,6.63,19.65,DAP,174.29,Cartap Hydrochloride,2.717
Rice,West Bengal,Kharif,25.53,64.17,7.07,29.62,Urea,164.63,Imidacloprid,2.903
Cotton,Uttar Pradesh,Zaid,23.0,73.91,6.07,54.78,Compost,107.03,Acephate,3.397
Pulses,Uttar Pradesh,Zaid,36.09,94.18,7.05,57.33,Compost,61.96,Imidacloprid,4.159
Pulses,Rajasthan,Kharif,23.08,62.39,5.98,35.44,Compost,49.02,Mancozeb,1.626
Maize,Maharashtra,Rabi,35.37,55.55,5.98,47.13,Urea,126.58,Lambda-Cyhalothrin,3.103
Maize,Andhra Pradesh,Rabi,27.91,73.2,5.45,47.75,DAP,114.32,Lambda-Cyhalothrin,3.89
Pulses,Punjab,Kharif,25.1,58.14,6.71,48.78,NPK,103.17,Mancozeb,1.332
Maize,Rajasthan,Zaid,22.68,50.65,7.69,12.35,DAP,102.19,Chlorantraniliprole,2.073
Sugarcane,Uttar Pradesh,Kharif,32.4,58.27,6.49,46.93,NPK,250.29,Imidacloprid,3.394
Jowar,Uttar Pradesh,Kharif,25.43,75.55,6.81,57.79,NPK,127.33,Chlorpyrifos,2.98
Maize,Odisha,Rabi,28.61,99.78,6.32,55.81,Compost,85.16,Imidacloprid,4.199
Cotton,Tamil Nadu,Kharif,28.82,46.2,5.98,49.82,NPK,177.65,Buprofezin,2.578
Sugarcane,Tamil Nadu,Rabi,34.47,50.39,6.49,17.99,Potash,186.18,Malathion,3.568
Mustard,Rajasthan,Kharif,28.05,68.8,6.2,41.34,SSP,98.6,Carbendazim,1.794
Jowar,Bihar,Kharif,30.27,72.53,6.37,31.43,SSP,95.14,Lambda-Cyhalothrin,2.638
Jowar,Rajasthan,Zaid,29.59,71.65,6.99,50.02,SSP,105.41,Lambda-Cyhalothrin,3.016
Rice,West Bengal,Rabi,25.1,55.09,6.16,34.24,DAP,153.28,Imidacloprid,2.458
Mustard,Odisha,Zaid,25.23,68.9,6.94,51.72,Compost,71.66,Imidacloprid,2.008
Maize,Maharashtra,Rabi,26.75,56.11,6.19,49.3,DAP,118.89,Chlorantraniliprole,2.359
Sugarcane,Karnataka,Zaid,21.64,85.77,6.8,44.77,Potash,205.62,Malathion,4.886
Maize,Bihar,Zaid,25.74,61.79,6.01,50.25,DAP,124.81,Lambda-Cyhalothrin,2.851
Groundnut,Tamil Nadu,Rabi,34.52,73.02,7.25,52.47,Urea,110.2,Carbendazim,2.739
Groundnut,Karnataka,Kharif,34.29,56.37,6.72,53.59,Compost,62.96,Dimethoate,2.469
Potato,Rajasthan,Zaid,21.85,91.18,6.96,42.36,Urea,186.01,Mancozeb,4.101
Rice,Uttar Pradesh,Kharif,23.69,57.94,6.6,25.28,Urea,165.69,Chlorpyrifos,3.105
Rice,Odisha,Zaid,27.35,70.04,7.14,28.13,Urea,153.76,Imidacloprid,3.136
Wheat,Maharashtra,Zaid,24.82,100,6.64,6.62,Urea,132.01,Carbendazim,2.992
Groundnut,Andhra Pradesh,Kharif,28.86,66.13,6.97,73.96,Compost,67.81,Carbendazim,2.261
Rice,Karnataka,Kharif,30.42,52.65,7.11,48.4,MOP,153.62,Chlorpyrifos,3.419
Potato,Rajasthan,Kharif,25.38,49.58,6.84,47.37,Urea,187.57,Carbendazim,2.455
Maize,Maharashtra,Rabi,27.95,75.33,6.15,41.09,Compost,75.56,Lambda-Cyhalothrin,3.798
Cotton,Bihar,Kharif,31.61,77.68,7.03,78.05,Compost,111.38,Acephate,4.337
Sugarcane,Maharashtra,Kharif,22.92,49.9,6.96,46.17,Urea,250.87,Chlorpyrifos,3.556
Sugarcane,Punjab,Kharif,22.67,75.45,6.13,58.08,Urea,245.1,Imidacloprid,3.883
Cotton,Odisha,Zaid,28.49,76.74,6.99,32.38,Potash,149.91,Buprofezin,3.051
Cotton,Tamil Nadu,Zaid,26.1,64.55,6.3,17.33,Potash,142.31,Buprofezin,2.354
Cotton,Maharashtra,Zaid,27.03,82.08,6.87,52.24,NPK,181.58,Buprofezin,3.352
Pulses,Tamil Nadu,Rabi,29.76,71.88,6.01,41.82,DAP,90.49,Imidacloprid,2.232
Cotton,Bihar,Kharif,27.08,90.28,7.93,49.72,NPK,181.56,Buprofezin,3.764
Potato,West Bengal,Zaid,22.2,69.64,6.73,42.69,MOP,176.01,Mancozeb,3.096
Groundnut,Rajasthan,Zaid,28.33,64.48,6.65,52.5,Compost,67.08,Carbendazim,2.102
Groundnut,Maharashtra,Kharif,21.01,65.41,7.16,46.24,Compost,61.33,Dimethoate,2.01
Wheat,Bihar,Kharif,23.55,88.56,5.73,32.66,Urea,128.91,Propiconazole,3.106
Mustard,Tamil Nadu,Kharif,28.84,70.66,7.26,61.15,Compost,72.16,Imidacloprid,2.455
Rice,Odisha,Kharif,18.0,68.0,6.25,51.08,MOP,151.88,Chlorpyrifos,3.43
Maize,Rajasthan,Kharif,28.77,70.35,6.94,41.5,DAP,118.14,Imidacloprid,2.803
Cotton,Karnataka,Zaid,32.98,65.08,6.67,48.66,Potash,152.59,Buprofezin,2.974
Potato,Andhra Pradesh,Rabi,23.45,64.36,5.43,36.5,MOP,174.6,Cartap Hydrochloride,2.757
Pulses,Tamil Nadu,Rabi,29.37,56.19,6.69,50.79,NPK,98.34,Imidacloprid,1.98
Mustard,Tamil Nadu,Rabi,31.39,65.95,7.63,23.78,Urea,110.91,Mancozeb,1.953
Sugarcane,Karnataka,Zaid,31.93,50.02,6.06,55.43,Potash,202.72,Malathion,3.618
Rice,Karnataka,Kharif,23.05,64.8,6.9,51.14,Urea,169.9,Imidacloprid,2.973
Maize,West Bengal,Kharif,29.39,64.73,7.14,62.13,Urea,135.68,Lambda-Cyhalothrin,3.295
Groundnut,Bihar,Zaid,25.84,73.74,6.07,36.49,Urea,100.46,Chlorpyrifos,3.093
Jowar,Odisha,Rabi,33.56,63.47,7.65,50.74,Urea,108.92,Lambda-Cyhalothrin,2.71
Sugarcane,Rajasthan,Rabi,30.92,89.27,5.84,54.58,NPK,250.63,Imidacloprid,4.692
Mustard,Maharashtra,Zaid,29.48,70.75,5.35,41.93,Urea,108.26,Mancozeb,2.419
Potato,West Bengal,Rabi,24.81,60.16,6.42,50.02,DAP,202.25,Cartap Hydrochloride,2.373
Cotton,Uttar Pradesh,Zaid,28.52,74.45,6.01,44.61,Potash,146.36,Acephate,3.54
Mustard,Tamil Nadu,Zaid,29.31,58.16,7.16,53.05,Urea,114.54,Imidacloprid,1.594
Cotton,Tamil Nadu,Rabi,31.35,80.59,5.08,30.59,Potash,138.49,Buprofezin,3.255
Mustard,West Bengal,Rabi,25.87,68.9,6.81,47.34,SSP,112.2,Imidacloprid,1.909
Groundnut,Bihar,Zaid,26.02,81.35,6.79,33.62,Gypsum,50.56,Dimethoate,3.313
Maize,Tamil Nadu,Kharif,32.95,56.24,6.99,49.21,DAP,125.95,Imidacloprid,2.582
Cotton,Odisha,Zaid,21.35,78.59,6.69,61.25,NPK,191.9,Imidacloprid,3.367
Sugarcane,Andhra Pradesh,Zaid,26.27,65.02,6.14,26.42,Potash,194.26,Imidacloprid,3.242
Pulses,Rajasthan,Zaid,29.43,83.95,6.8,30.79,NPK,89.64,Imidacloprid,2.682
Mustard,Uttar Pradesh,Rabi,30.13,48.18,7.34,44.53,Compost,69.7,Mancozeb,1.729
Pulses,Maharashtra,Rabi,29.95,68.77,6.33,43.58,Compost,57.32,Imidacloprid,1.944
Mustard,Maharashtra,Rabi,31.76,57.23,5.31,15.76,Urea,105.25,Imidacloprid,1.859
Wheat,Rajasthan,Rabi,27.97,59.21,6.92,42.77,Urea,140.42,Carbendazim,1.369
Jowar,Rajasthan,Kharif,24.49,61.57,6.47,34.72,Urea,112.85,Imidacloprid,1.689
